SEX,AGE,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,POPESTIMATE2025
0,0,3719470,3691723,3572165,3680529,3653453,3617221,3618898
0,1,3764281,3750601,3697247,3602579,3719819,3700305,3642657
0,2,3841150,3826776,3756935,3727216,3642279,3766783,3725891
0,3,3916585,3888055,3832978,3786311,3766965,3689270,3791993
0,4,3984785,3976772,3894042,3861295,3824021,3811156,3712428
0,5,4007170,4005096,3982515,3920724,3897067,3866199,3833003
0,6,3977620,3991809,4010593,4007736,3955098,3938295,3887513
0,7,4013733,4001739,3997065,4034563,4040453,3994511,3958385
0,8,4030006,4015045,4006869,4020380,4065958,4077472,4013109
0,9,4092429,4075107,4020066,4029435,4051236,4102138,4095711
0,10,4193446,4169406,4079899,4041578,4058149,4086091,4119512
0,11,4285707,4246735,4174119,4101239,4069137,4091663,4102351
0,12,4388346,4383961,4251285,4194938,4128266,4101411,4106943
0,13,4382519,4379402,4388243,4271229,4221225,4159743,4116277
0,14,4300739,4318919,4383705,4408204,4298088,4253364,4175022
0,15,4302948,4306761,4323562,4405398,4436199,4332278,4269990
0,16,4332543,4331506,4311859,4348604,4437134,4475114,4351721
0,17,4288750,4300534,4337844,4342739,4388584,4485865,4499944
0,18,4434137,4378169,4307633,4375317,4391967,4447882,4515570
0,19,4726093,4653347,4384474,4346892,4426623,4452930,4478055
0,20,4641162,4681521,4658564,4419828,4396869,4485626,4480764
0,21,4525622,4537076,4685525,4696233,4472038,4462160,4515485
0,22,4363740,4405909,4542160,4726970,4753870,4545285,4496120
0,23,4277904,4300830,4412158,4585397,4789203,4831978,4581501
0,24,4303292,4285601,4307794,4456076,4648745,4869332,4869364
0,25,4328668,4325187,4292420,4353392,4519119,4728379,4906967
0,26,4365856,4366117,4331733,4338487,4415247,4595794,4764474
0,27,4448314,4422550,4372373,4375593,4399096,4491577,4631555
0,28,4518497,4509105,4427647,4414853,4435470,4476138,4527973
0,29,4632816,4604744,4513160,4469745,4473647,4510254,4511396
0,30,4626991,4652848,4608103,4553168,4526487,4545085,4543064
0,31,4510817,4524680,4654862,4645753,4607395,4594124,4575753
0,32,4454253,4460347,4526343,4689620,4697241,4671312,4622744
0,33,4411112,4415515,4460665,4558253,4737984,4757860,4697801
0,34,4464259,4449946,4415074,4489285,4603400,4794528,4782320
0,35,4406965,4442954,4448210,4440315,4529898,4655460,4815592
0,36,4334299,4325805,4440159,4470431,4477617,4577885,4673999
0,37,4393956,4384482,4322361,4459504,4503669,4521041,4593584
0,38,4328185,4360630,4379863,4339258,4488511,4542429,4534325
0,39,4350069,4327425,4354778,4393975,4365548,4523696,4553803
0,40,4281826,4325608,4320584,4365463,4416286,4396672,4532076
0,41,4084676,4122291,4317608,4328323,4383582,4442542,4402175
0,42,4032206,4023765,4113713,4323248,4343474,4406001,4445939
