year,age_group,deaths,population,source_citation,source_type,fetched_from,verified_by,verified_date,corroborated_against,corroborated_date,corroborated_measures
2010,0-24,63732,104853555,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,"NVSR Vol. 61 No. 4, Table B (total deaths, crude rate); Table 10 (age distribution)",2026-08-30,age-distribution
2010,25-44,112292,82134554,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,"NVSR Vol. 61 No. 4, Table B (total deaths, crude rate); Table 10 (age distribution)",2026-08-30,age-distribution
2010,45-64,494009,81489445,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,"NVSR Vol. 61 No. 4, Table B (total deaths, crude rate); Table 10 (age distribution)",2026-08-30,age-distribution
2010,65-74,407151,21713429,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,"NVSR Vol. 61 No. 4, Table B (total deaths, crude rate); Table 10 (age distribution)",2026-08-30,age-distribution
2010,75-84,625651,13061122,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,"NVSR Vol. 61 No. 4, Table B (total deaths, crude rate); Table 10 (age distribution)",2026-08-30,age-distribution
2010,85+,765474,5493433,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,"NVSR Vol. 61 No. 4, Table B (total deaths, crude rate); Table 10 (age distribution)",2026-08-30,age-distribution
2011,0-24,63299,104998981,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2011,25-44,113641,82418452,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2011,45-64,506562,82780343,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
2011,65-74,415052,22481738,"CDC WONDER export allcause_by_age_2010-2017_ucd-bridged.txt (sha256:213e10c77866). Dataset: Underlying Cause of Death, 1999-2020. Years: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017. Cause: all causes (no ICD-10 restriction). Group By: Year; Ten-Year Age Groups. Accessed: Aug 29, 2026 9:38:43 PM. Committed in data/raw/wonder_exports/; footer is the artifact.",api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,Terry Finberg,2026-08-30,,,
