year,deaths,not_stated,status,source_citation,source_type,fetched_from,verified_by,verified_date
2010,2468435,126,final,NVSR 'Deaths: Final Data for 2010' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2011,2515458,134,final,NVSR 'Deaths: Final Data for 2011' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2012,2543279,147,final,NVSR 'Deaths: Final Data for 2012' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2013,2596993,132,final,NVSR 'Deaths: Final Data for 2013' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2014,2626418,163,final,NVSR 'Deaths: Final Data for 2014' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2015,2712630,138,final,NVSR 'Deaths: Final Data for 2015' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2016,2744248,137,final,NVSR 'Deaths: Final Data for 2016' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2017,2813503,129,final,NVSR 'Deaths: Final Data for 2017' - Table B,api,wonder-export:allcause_by_age_2010-2017_ucd-bridged.txt@sha256:213e10c77866,,
2018,2839205,144,final,NVSR 'Deaths: Final Data for 2018' - Table B,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
2019,2854838,147,final,NVSR 'Deaths: Final Data for 2019' - Table B,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
2020,3383729,116,final,NVSR 'Deaths: Final Data for 2020' - Table B,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
2021,3464231,93,final,NVSR 'Deaths: Final Data for 2021' - Table B,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
2022,3279857,103,final,NVSR 'Deaths: Final Data for 2022' - Table B,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
2023,3090964,80,final,CDC VSRR provisional mortality - retrieve current release,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
2024,3072666,57,final,CDC VSRR provisional mortality - retrieve current release,api,wonder-export:allcause_by_age_2018-2024_ucd-singlerace.txt@sha256:dd6beab886e5,,
